"OPENMONTH","LOAN_TERM","LOAN_SIZE","AGEINMONTHS","TOTAL_ACCOUNTS","TOTAL_IN_ARREARS"
"202404","2","6001 - 7000",3,20,1
"202408","4",   0 - 1000,2,12,3
"202403","6","5001 - 6000",7,629,223
"202503","6","5001 - 6000",2,487,114
"202407","3","6001 - 7000",3,298,118
"202410","5","5001 - 6000",7,1,0
"202405","4",   0 - 1000,3,7,0
"202505","5","6001 - 7000",1,4,2
"202401","6","3001 - 4000",1,282,21
"202401","4","2001 - 3000",4,810,233
General,"2","4001 - 5000",2,999,189
"202409","1","7001 - 8000",1,636,63
"202407","1","4001 - 5000",4,1199,138
"202405","2",   0 - 1000,4,24,7
"202408","5","2001 - 3000",7,3,2
"202410","2","7001 - 8000",7,96,23
General,"2","2001 - 3000",2,2259,443
General,"2","7001 - 8000",4,1617,296
"202405","3","3001 - 4000",4,766,190
"202404","3","4001 - 5000",2,738,173
General,"1","4001 - 5000",8,13662,1567
"202402","4","5001 - 6000",8,1097,438
"202403","1","3001 - 4000",4,2121,212
"202402","5","1001 - 2000",6,1,1
"202411","4","2001 - 3000",1,554,72
"202404","1",   0 - 1000,5,3031,278
General,"1","6001 - 7000",6,2934,374
"202501","5","4001 - 5000",3,6,2
"202501","1","6001 - 7000",1,262,33
"202501","3","2001 - 3000",2,1026,186
"202411","1","1001 - 2000",7,7684,1069
"202407","5","5001 - 6000",6,4,2
"202503","6","1001 - 2000",4,37,9
"202408","7","10000 +",2,216,29
"202403","6","2001 - 3000",8,147,44
"202401","3","3001 - 4000",1,691,95
"202504","5","5001 - 6000",3,2,1
"202409","6","7001 - 8000",6,2463,1000
General,"3",   0 - 1000,4,200,49
"202501","1","4001 - 5000",7,1338,151
"202502","1","5001 - 6000",5,668,63
"202404","3","5001 - 6000",2,503,140
"202404","3","1001 - 2000",4,499,92
"202402","8","10000 +",1,803,44
"202406","2","1001 - 2000",1,203,17
"202412","2","2001 - 3000",5,99,26
"202412","1","5001 - 6000",4,709,117
"202409","5","3001 - 4000",1,2,0
"202403","2","5001 - 6000",3,50,12
"202406","3","6001 - 7000",1,225,40
"202401","3","5001 - 6000",7,458,150
"202407","1",   0 - 1000,1,3073,325
"202501","4","5001 - 6000",1,772,91
"202501","4","7001 - 8000",6,2437,832
"202404","4","3001 - 4000",3,1293,348
"202409","3","2001 - 3000",4,896,217
"202502","2","7001 - 8000",2,69,12
"202403","2","3001 - 4000",4,121,25
"202404","2","3001 - 4000",1,106,10
"202403","6","7001 - 8000",4,3201,1084
"202412","4","4001 - 5000",1,1322,231
"202407","5","1001 - 2000",4,1,0
"202404","4","4001 - 5000",4,1308,450
"202412","2",   0 - 1000,1,5,2
"202406","4","1001 - 2000",8,288,89
"202405","1","1001 - 2000",3,8046,982
"202405","1","7001 - 8000",5,599,65
"202410","7","9001 - 10000",2,141,18
"202404","4","1001 - 2000",1,366,21
"202402","5","6001 - 7000",1,3,0
"202402","5","1001 - 2000",2,1,0
"202402","2","2001 - 3000",4,166,32
"202403","4","7001 - 8000",1,4264,564
"202411","7","8001 - 9000",8,3,2
"202504","8","10000 +",3,2215,432
"202409","5","7001 - 8000",5,21,4
"202503","5","7001 - 8000",5,11,3
"202404","4","2001 - 3000",3,971,242
"202407","6","2001 - 3000",4,136,25
"202410","4","2001 - 3000",8,585,242
"202405","8","8001 - 9000",4,14,4
"202404","4","6001 - 7000",2,689,201
"202403","3","1001 - 2000",2,514,88
"202408","6","4001 - 5000",2,526,86
"202404","2","2001 - 3000",5,175,32
"202408","1","7001 - 8000",7,670,54
"202410","1","5001 - 6000",2,726,73
"202403","1",   0 - 1000,5,3088,310
"202401","7","9001 - 10000",7,160,47
"202411","2","4001 - 5000",5,41,11
"202409","2","3001 - 4000",6,95,13
"202506","8","8001 - 9000",1,45,2
"202411","5","5001 - 6000",4,4,1
"202409","2","3001 - 4000",2,95,12
"202405","2","2001 - 3000",6,176,28
"202503","1","1001 - 2000",1,7764,754
"202409","5","5001 - 6000",5,3,1
"202410","5","3001 - 4000",2,3,0
"202408","3","5001 - 6000",7,565,215
"202503","3","6001 - 7000",1,338,61
General,"8","8001 - 9000",7,267,116
"202412","5","3001 - 4000",5,2,0
"202410","2",   0 - 1000,3,6,0
"202411","8","9001 - 10000",7,396,152
"202403","8","9001 - 10000",3,517,107
"202501","2","7001 - 8000",1,59,3
"202403","1","2001 - 3000",7,4709,559
"202401","6","3001 - 4000",3,282,59
"202410","8","10000 +",1,1684,95
"202401","1","2001 - 3000",4,4136,550
"202402","3","5001 - 6000",2,436,139
"202411","2","7001 - 8000",4,81,21
"202404","4","2001 - 3000",6,971,288
General,"2","5001 - 6000",4,538,111
"202402","6","5001 - 6000",3,512,134
"202412","5","1001 - 2000",7,1,0
"202409","2","7001 - 8000",1,83,11
"202403","6","2001 - 3000",6,147,44
"202403","1","1001 - 2000",1,7542,850
"202407","1","2001 - 3000",3,5477,704
"202407","6","5001 - 6000",2,590,127
"202501","6","6001 - 7000",6,225,79
General,"5","2001 - 3000",2,48,12
"202503","6","7001 - 8000",2,2180,474
"202403","1","3001 - 4000",3,2121,212
General,"7","8001 - 9000",4,21,6
"202411","7","7001 - 8000",3,1,1
"202401","5","1001 - 2000",4,2,0
"202401","1",   0 - 1000,1,2807,339
General,"8","5001 - 6000",1,1,0
"202502","4","4001 - 5000",2,716,154
"202402","8","8001 - 9000",1,14,1
"202406","4","4001 - 5000",4,1368,498
"202404","6","3001 - 4000",7,285,80
General,"6","1001 - 2000",6,589,149
"202504","1","2001 - 3000",2,4499,463
"202505","2","4001 - 5000",2,33,6
"202411","1",   0 - 1000,7,2870,284
"202406","8","9001 - 10000",1,465,22
"202403","4","7001 - 8000",5,4264,1521
"202401","1","1001 - 2000",8,6589,866
General,"3","5001 - 6000",6,7834,2694
"202506","8","10000 +",1,2429,111
"202412","6","7001 - 8000",6,2964,1227
"202408","5","6001 - 7000",3,4,1
"202505","1","2001 - 3000",1,5214,502
"202408","7","8001 - 9000",5,2,2
"202411","4","1001 - 2000",7,184,74
"202412","3","4001 - 5000",1,1263,239
"202406","1","4001 - 5000",6,1091,105
"202405","6","6001 - 7000",2,347,66
General,"4",   0 - 1000,4,94,24
"202401","1","2001 - 3000",3,4136,550
"202402","3","1001 - 2000",8,432,82
"202404","8","8001 - 9000",7,15,6
"202409","1","4001 - 5000",7,1066,107
"202408","6","1001 - 2000",5,38,9
"202506","3","4001 - 5000",1,923,116
"202504","3","6001 - 7000",4,276,101
"202409","4",   0 - 1000,5,2,1
"202404","3","6001 - 7000",4,237,89
"202407","2","2001 - 3000",8,135,24
"202407","6","3001 - 4000",6,298,99
"202402","1","6001 - 7000",2,147,11
General,"7","8001 - 9000",2,26,5
"202405","2","3001 - 4000",6,90,16
"202503","2","6001 - 7000",5,7,1
"202406","1","5001 - 6000",1,430,47
"202405","8","8001 - 9000",5,14,4
"202408","2","5001 - 6000",6,31,6
"202403","3","7001 - 8000",7,798,218
"202503","6","1001 - 2000",1,37,2
"202401","4","3001 - 4000",8,1076,331
"202501","3","5001 - 6000",1,514,86
"202412","6","6001 - 7000",1,411,58
"202410","3","1001 - 2000",5,384,99
"202407","2",   0 - 1000,7,14,3
"202501","7","10000 +",2,325,45
"202403","6","5001 - 6000",3,629,161
"202411","2","2001 - 3000",7,118,27
"202408","1",   0 - 1000,1,3303,280
"202409","3","7001 - 8000",5,774,231
"202502","4","3001 - 4000",6,739,216
"202405","8","8001 - 9000",7,14,5
"202412","1","1001 - 2000",7,7782,1237
"202503","2","6001 - 7000",1,7,1
"202411","8","5001 - 6000",4,1,0
"202407","3","5001 - 6000",8,518,200
"202502","2","3001 - 4000",1,59,5
"202402","2",   0 - 1000,6,11,2
"202406","3",   0 - 1000,4,11,5
"202405","2","7001 - 8000",8,126,19
"202504","5","3001 - 4000",1,2,0
"202410","7","9001 - 10000",4,141,40
"202502","4","1001 - 2000",1,162,4
"202401","5","1001 - 2000",6,2,1
"202411","5","6001 - 7000",4,3,2
General,"3","6001 - 7000",6,3965,1447
"202409","4",   0 - 1000,1,2,0
"202406","1","4001 - 5000",3,1091,105
"202404","4",   0 - 1000,3,6,0
"202406","5","6001 - 7000",2,3,0
"202408","2","3001 - 4000",6,99,22
"202403","4","6001 - 7000",8,774,309
"202406","6","6001 - 7000",2,363,75
"202501","8","7001 - 8000",4,1,0
"202409","5","4001 - 5000",8,5,2
"202402","2","1001 - 2000",8,191,32
"202501","3","7001 - 8000",7,906,263
"202408","3","3001 - 4000",3,877,235
